STATE/UT,Total population
ANDAMAN & NICOBAR ISLANDS,379944
ANDHRA PRADESH,84665533
ARUNACHAL PRADESH,1382611
ASSAM,31169272
BIHAR,103804637
CHANDIGARH,1054686
CHHATTISGARH,25540196
DADRA & NAGAR HAVELI,342853
DAMAN & DIU,242911
GOA,1457723
GUJARAT,60383628
HARYANA,25353081
HIMACHAL PRADESH,6856509
JAMMU & KASHMIR,12548926
JHARKHAND,32966238
KARNATAKA,61130704
KERALA,33387677
LAKSHADWEEP,64429
MADHYA PRADESH,72597565
MAHARASHTRA,112372972
MANIPUR,2721756
MEGHALAYA,2964007
MIZORAM,1091014
NAGALAND,1980602
NCT OF DELHI,16753235
ODISHA,41947358
PUDUCHERRY,1244464
PUNJAB,27704236
RAJASTHAN,68621012
SIKKIM,607688
TAMIL NADU,72138958
TRIPURA,3671032
UTTAR PRADESH,199581477
UTTARAKHAND,10116752
WEST BENGAL,91347736
