STATE/UT,Total Male,Total Female,Grand Total,Total population
ANDHRA PRADESH,64916,13660,78576,1015986396
UTTAR PRADESH,70157,7588,77745,2195396247
MAHARASHTRA,29897,11151,41048,1236102692
WEST BENGAL,25332,8691,34023,1004825096
MADHYA PRADESH,25227,4020,29247,798573215
GUJARAT,18026,5939,23965,664219908
BIHAR,17420,2727,20147,1141851007
ODISHA,14719,2464,17183,461420938
RAJASTHAN,14795,2300,17095,754831132
KARNATAKA,12946,3734,16680,672437744
KERALA,11740,1777,13517,367264447
ASSAM,12223,123,12346,342861992
TAMIL NADU,8732,2181,10913,793528538
HARYANA,6268,996,7264,278883891
CHHATTISGARH,5742,852,6594,280942156
JHARKHAND,5808,741,6549,362628618
JAMMU & KASHMIR,4679,525,5204,138038186
PUNJAB,4023,1025,5048,304746596
NCT OF DELHI,3657,324,3981,184285585
TRIPURA,1656,290,1946,40381352
UTTARAKHAND,1309,111,1420,111284272
HIMACHAL PRADESH,1064,261,1325,75421599
GOA,234,52,286,16034953
MEGHALAYA,252,19,271,32604077
CHANDIGARH,257,11,268,11601546
MIZORAM,214,1,215,12001154
ARUNACHAL PRADESH,202,0,202,15208721
MANIPUR,181,21,202,29939316
PUDUCHERRY,93,17,110,13689104
NAGALAND,60,15,75,21786622
ANDAMAN & NICOBAR ISLANDS,60,13,73,4179384
SIKKIM,66,3,69,6684568
DAMAN & DIU,26,19,45,2672021
DADRA & NAGAR HAVELI,24,6,30,3771383
LAKSHADWEEP,1,0,1,708719
