Rank,City,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
1,Ahmedabad,29.26,6.61,18.18,31.59,20.84,55.58
2,Bangalore,30.64,9.68,20.39,33.42,19.5,85.76
3,Bhubaneswar,25.91,4.66,15.52,29.79,14.91,51.16
4,Chandigarh,29.65,6.41,18.29,31.42,20.38,63.36
5,Chennai,29,7.34,18.41,31.48,19.21,68.68
6,Coimbatore,25.12,5.73,15.64,26.61,15.49,46.49
7,New Delhi,33.1,9.97,21.79,33.04,26.02,68.13
8,Goa,28.93,7.65,18.53,31.22,21.98,52.73
9,Gurgaon,36.29,10.53,23.69,35.6,32.21,94.28
10,Hyderabad,27.16,6.49,17.05,29.35,17.82,65.45
11,Indore,27.82,4.48,16.41,27.7,18.18,43.68
12,Jaipur,28.46,4.72,16.85,30.22,16.91,65.7
13,Kochi,25.99,6.45,16.44,28.94,14.98,55.8
14,Kolkata,28.48,6.92,17.94,30.05,23.36,46.81
15,Lucknow,28.45,4.72,16.85,29.48,18.27,62.69
16,Mangalore,24.2,5.82,15.21,25.67,13.22,91.24
17,Mumbai,33.25,23.72,28.59,35.84,23.96,63.7
18,Mysore,26.48,4.57,15.77,32.2,13.13,35.57
19,Nagpur,27.9,5.06,16.73,29.69,19.61,79.41
20,Navi Mumbai,29.94,9.97,20.18,32.22,20.8,72.11
21,Noida,33.11,7.02,20.35,34.77,22.69,82.21
22,Pune,30.87,7.89,19.64,32.92,22.1,85.31
23,Surat,28.28,4.61,16.71,29.5,20.91,54.56
24,Thane,30.34,8.73,19.78,31.99,20.49,58.83
25,Thiruvananthapuram,22.01,5.31,13.84,23.96,12.28,62.01
26,Vadodara,27.79,3.95,16.14,32.19,16.52,67.02
27,Visakhapatnam,25.99,5.27,15.86,28.85,17.14,52.77
