Job Title,Location,Salary
Goverment of Tamil Nadu Doctor - Monthly,India,"59,447"
Paras Hospital Doctor,India,"1,175,091"
Indian Navy Doctor - Monthly,India,"122,566"
Fortis Healthcare Doctor - Monthly,India,"319,328"
Isha Foundation Doctor,India,"128,659"
Border Security Force Doctor - Monthly Contractor,India,"47,065"
Govt of Gujarat Doctor,India,"974,240"
Tangedco Doctor,India,"826,281"
Shathayu Ayurveda Wellness Centre Doctor,India,"1,269,676"
DH&FWS Doctor - Monthly,India,"38,773"
Agartala Government Medical College Doctor - Monthly,India,"64,477"
Haryana Department of Health Doctor Intern - Monthly,India,"11,796"
Odisha Government Doctor - Monthly,India,"39,845"
Vardhman Mahavir Medical College Doctor - Monthly,India,"47,334"
Ayushya Hospital Doctor - Monthly,India,"52,967"
Government of Assam Doctor - Monthly,India,"32,988"
Riyahd Military Hospital Doctor - Monthly,India,"128,411"
"Fortis Hospital, NOIDA Doctor - Monthly",India,"51,686"
Rajendra Institute of Medical Sciences Doctor - Monthly,India,"47,376"
Government of Haryana Doctor - Monthly,India,"50,140"
Best Doctors Doctor - Monthly,India,"82,389"
Apollo Hospitals Doctor - Monthly,India,"118,980"
All India Institute of Medical Sciences Doctor - Monthly,India,"247,352"
Doctor's Exchange of Washington Doctor - Monthly,India,"40,841"
Best Doctors Doctor,India,"7,387,274"
Government of India Doctor - Monthly,India,"111,044"
Government of India Doctor Intern - Monthly,India,"17,979"
Municipal of Delhi Doctor - Monthly,India,"35,859"
Best Doctors Doctor Intern - Monthly,India,"20,084"
Government of India Doctor - Monthly Contractor,India,"47,095"
Government of India Doctor,India,"516,600"
Self-Employment and Entrepreneur Development Society (SEEDS) Doctor - Monthly,India,"155,303"
Doctors Hospital at Renaissance Doctor - Monthly,India,"128,672"
Fortis Hospitals Doctor - Monthly,India,"29,254"
Fortis Hospitals Doctor,India,"705,009"
Cancer Cross Doctor - Monthly,India,"49,763"
Dr. Lal PathLabs Doctor - Monthly,India,"100,159"
Govt of Uttarakhand Doctor - Monthly Contractor,India,"61,469"
Apollo Health and Lifestyle Doctor - Monthly,India,"40,122"
MGM medical college Doctor - Contractor,India,"385,930"
Vijaya Hospital Doctor,India,"712,630"
Sahyadri Speciality Hospital Doctor - Monthly,India,"17,759"
Life Force Doctor - Monthly,India,"24,834"
Indian Army Doctor,India,"1,149,396"
Rajasthan High Court Doctor - Monthly,India,"71,984"
Global Hospitals Group Doctor - Monthly,India,"33,327"
Columbia Asia Doctor - Monthly,India,"69,998"
Government of Odisha Doctor,India,"776,421"
KMC Hospital Doctor - Monthly,India,"128,962"
Government of NCT of Delhi Doctor - Monthly,India,"69,312"
"Department of Health & Family Welfare, Punjab, India Doctor",India,"768,644"
UPRVUNL Doctor - Monthly Contractor,India,"31,159"
Dr. Batras' Positive Health Clinic Doctor - Monthly,India,"21,100"
"Himachal Pradesh Government, India Doctor Intern - Monthly",India,"19,474"
Pmch Doctor - Monthly,India,"128,970"
Park Hospital Doctor,India,"420,063"
Bad Hospitals in Delhi Doctor - Monthly,India,"19,999"
Geeta Infotech Doctor - Monthly,India,"51,754"
National Rural Health Mission Andhra Pradesh Doctor - Monthly Contractor,India,"25,966"
The Jaypee Group Doctor - Monthly,India,"11,839"
Pragya Doctor,India,"670,158"
Lok Hospital Doctor - Monthly,India,"47,259"
Bharat Vikas Parishad Hospital & Research Center Doctor,India,"1,295,646"
MŽdecins Sans Frontires India Doctor - Monthly,India,"50,869"
East Delhi Municipal Doctor,India,"1,415,971"
ASRAM Hospital Doctor - Monthly,India,"29,456"
KAMALA REDDY MEMORIAL FOUNDATION Doctor,India,"415,383"
Select Medical Doctor - Monthly,India,"58,739"
Apollo Doctor,India,"1,184,035"
UT Southwestern Medical Center Doctor,India,"904,750"
HealthSpring Doctor - Monthly Contractor,India,"115,694"
Capgemini Doctor - Monthly,India,"96,512"
Rmo Doctor - Monthly,India,"59,169"
GURUKRUPA Doctor - Monthly,India,"38,506"
Transocean Offshore Deepwater Drilling Doctor,India,"1,938,982"
Maxim Healthcare Services Doctor - Monthly,India,"99,616"
CMC Doctor - Monthly,India,"38,825"
Alere Doctor - Monthly,India,"64,635"
Apollo Education Group Doctor - Monthly,India,"41,390"
Jessica McClintock Doctor Intern - Monthly,India,"128,809"
Ayurveda Pura Doctor - Monthly,India,"50,176"
Government Procurement Service Doctor - Monthly,India,"25,576"
Home Office Doctor - Monthly,India,"19,401"
Department of Health UK Doctor - Monthly Contractor,India,"34,714"
Communities & Local Government Doctor - Monthly Contractor,India,"51,258"
Star Hospitals Nurse Cum Physician Assistant - Monthly,India,"19,370"
Subharti University Doctor ENT Surgeon - Monthly,India,"115,666"
BARC Jrd Doctor Pathology - Monthly,India,"51,613"
GVK Industries Emergency Response Care Physician,India,"440,721"
ONGC Occupational Health Physician - Monthly,India,"103,755"
"Rajiv Gandhi Cancer Institute & Researchcentre Physician, Investigator - Clinical Research - Monthly",India,"130,251"
Ganga Medical Centre & Hospitals Doctor&#039;s Assistant,India,"231,833"
Shabbir Tiles Doctor Clinic - Monthly,India,"128,848"
BMC DOCTOR INMEDICAL COLLGE,India,"462,962"
Dr.MANU'S HOMEOPATHY Branch Head Doctor,India,"192,913"
MGM medical college Junior Resident Doctor - Monthly,India,"12,866"
Dr. Netra Mandir Consultant Doctor,India,"948,358"
Government of Maharashtra Doctor/Physion - Monthly,India,"58,846"
