Nationality,Region,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Canada,NORTH AMERICA,88600,93598,107671,135884,157643,176567,208214,222364,224069,242372
U.S.A.,NORTH AMERICA,329147,348182,410803,526120,611165,696739,799062,804933,827140,931292
Total,NORTH AMERICA,417747,441780,518474,662004,768808,873306,1007276,1027297,1051209,1173664
Argentina,CENTRAL AND SOUTH AMERICA,2906,1359,1805,2799,3313,4493,4992,5087,6011,7626
Brazil,CENTRAL AND SOUTH AMERICA,3819,3622,4528,7397,7005,9148,10788,11530,13964,15219
Mexico,CENTRAL AND SOUTH AMERICA,3473,3105,3563,4570,5398,6502,8299,9272,8185,10458
Others,CENTRAL AND SOUTH AMERICA,11727,9586,11758,13399,19870,18602,18240,17616,18444,29425
Total,CENTRAL AND SOUTH AMERICA,21925,17672,21654,28165,35586,38745,42319,43505,46604,62728
Austria,WESTERN EUROPE,17787,13801,16903,21093,27187,28045,26692,25900,27930,32620
Belgium,WESTERN EUROPE,18851,13945,17309,24007,25596,29156,34207,36277,34759,37709
Denmark,WESTERN EUROPE,14531,10230,11327,15805,20170,21592,28347,34253,30857,35541
Finland,WESTERN EUROPE,8186,7673,8001,12525,16258,22860,34364,29223,24874,24089
France,WESTERN EUROPE,102434,78194,97654,131824,152258,175345,204827,207802,196462,225232
Germany,WESTERN EUROPE,80011,64891,76868,116679,120243,156808,184195,204344,191616,227720
Greece,WESTERN EUROPE,3996,3207,3455,4468,4793,5146,6455,6672,6664,7441
Ireland,WESTERN EUROPE,6136,5793,7083,8996,10052,14936,18376,18924,19223,20329
Italy,WESTERN EUROPE,41351,37136,46908,65561,67642,79978,93540,85766,77873,94100
Netherland,WESTERN EUROPE,42368,31669,40565,51211,52755,58611,67429,71605,64580,70756
Norway,WESTERN EUROPE,7667,7475,8400,10631,11194,14216,19484,22369,22092,22229
Portugal,WESTERN EUROPE,7028,7262,8158,10648,11457,13108,15756,15415,17184,21038
Spain,WESTERN EUROPE,23073,19567,30551,42895,45247,53520,63357,62535,59047,72591
Sweden,WESTERN EUROPE,14446,15330,18098,26154,28799,36013,47090,58961,43327,45028
Switzerland,WESTERN EUROPE,25308,21606,24463,28260,34311,37446,41172,42107,38290,43134
U.K.,WESTERN EUROPE,405472,387846,430917,555907,651083,734240,796191,776530,769251,759494
Others,WESTERN EUROPE,1328,1158,1306,1633,3074,6251,4601,10842,10013,11291
Total,WESTERN EUROPE,819973,726783,847966,1128297,1282119,1487271,1686083,1709525,1634042,1750342
Czechoslovakia, EASTERN EUROPE,3197,2561,3466,4114,4783,5760,7764,8549,8328,9918
Hungary, EASTERN EUROPE,1939,1557,1997,3527,3704,4262,5073,5263,4980,6022
Poland, EASTERN EUROPE,5181,4468,6336,8445,10983,14808,20166,23517,19656,25424
CIS, EASTERN EUROPE,25032,28304,38947,61816,75863,87433,109769,140341,135854,170112
Others, EASTERN EUROPE,3514,3738,4506,5153,6077,7928,7946,10607,11565,12603
Total, EASTERN EUROPE,38863,40628,55252,82426,101445,121309,152764,191110,183475,227650
Egypt,AFRICA,2479,2688,3382,3781,4048,5528,6328,5326,5869,8017
Ethiopia,AFRICA,2897,2535,2301,2661,3248,3140,3588,3306,3936,3797
Kenya,AFRICA,15973,17275,16563,17538,19816,20313,25397,14941,22704,29223
Mali,AFRICA,85,54,57,2541,114,162,238,232,273,495
Mauritius,AFRICA,16039,14425,16308,19823,19760,20607,21522,19713,18866,21672
Nigeria,AFRICA,7539,5997,5713,6659,10049,9348,10863,13997,18338,23893
South Africa,AFRICA,21162,18238,23873,32148,39229,41954,46042,42337,44308,55688
Sudan,AFRICA,2323,1899,2025,2487,3660,4355,4381,3473,4987,7418
Tanzania,AFRICA,6579,7459,8515,9953,11193,11954,13960,14872,17020,17645
Zambia,AFRICA,1290,1126,1383,1468,1848,2069,2814,1995,2249,2621
Others,AFRICA,14596,11761,13233,16434,21836,23383,22352,21558,25924,34056
Total,AFRICA,90962,83457,93353,115493,134801,142813,157485,141750,164474,204525
Bahrein, WEST ASIA,3945,3754,4182,4414,4923,4793,6674,7224,7901,7766
Israel, WEST ASIA,28774,25503,32157,39083,42866,42735,47553,42720,40581,43456
Jordan, WEST ASIA,1428,1768,1686,2400,3333,3933,4537,4154,4301,4640
Kuwait, WEST ASIA,1850,1838,2361,2965,3103,3773,4129,5302,5208,4764
Oman, WEST ASIA,13114,13256,12352,14927,14979,17849,22284,34042,32971,35485
Qatar, WEST ASIA,1361,1215,1434,1788,2176,2392,2606,2934,2765,2735
Saudi Arabia, WEST ASIA,9851,8663,9961,11929,12444,14006,16352,16983,15552,21599
Syria, WEST ASIA,1501,1452,1661,2289,2385,2645,2928,2883,3215,3586
Turkey, WEST ASIA,2432,3354,5528,7008,7906,10221,11212,10934,10282,15483
U.A.E., WEST ASIA,21483,22027,21374,22668,24560,27593,32750,63502,47234,45482
Yemen Arab Rep., WEST ASIA,7773,6772,7717,8826,9423,9573,10898,11583,12695,14931
Others, WEST ASIA,2912,2962,3183,4511,5723,7180,9738,13281,22138,35390
Total, WEST ASIA,96424,92562,103596,122808,133821,146693,171661,215542,204843,235317
Afghanistan,SOUTH ASIA,1248,6012,10079,12705,14025,18799,23045,32438,50446,73389
Iran,SOUTH ASIA,11728,11815,17539,24733,28691,29771,33223,30149,34652,49265
Maldives,SOUTH ASIA,17564,18826,18345,21099,33915,37652,45787,54956,55159,58152
Nepal,SOUTH ASIA,41135,43056,42771,51534,77024,91552,83037,78133,88785,104374
Pakistan,SOUTH ASIA,52762,2946,10364,67416,88609,83426,106283,85529,53137,51739
Bangladesh,SOUTH ASIA,431312,435867,454611,477446,456371,484401,480240,541884,468899,431962
Sri Lanka,SOUTH ASIA,112813,108008,109098,128711,136400,154813,204084,218805,239995,266515
Bhutan,SOUTH ASIA,3571,4123,4082,7054,6934,8502,6729,9952,10328,12048
Total,SOUTH ASIA,672133,630653,666889,790698,841969,908916,982428,1051846,1001401,1047444
Indonesia,SOUTH EAST ASIA,7767,8694,9078,11408,12640,16990,17818,19609,20068,26171
Malayasia,SOUTH EAST ASIA,57869,63748,70750,84390,96276,107286,112741,115794,135343,179077
Maynnar,SOUTH EAST ASIA,3417,3037,3609,4932,5652,7734,7977,12147,12849,14719
Philippines,SOUTH EAST ASIA,7199,7647,8091,10492,11422,15644,15567,17222,21987,24534
Singapore,SOUTH EAST ASIA,42824,44306,48368,60710,68666,82574,92908,97851,95328,107487
Thailand,SOUTH EAST ASIA,18623,19649,25754,33442,41978,46623,50037,58065,67309,76617
Others,SOUTH EAST ASIA,2276,2210,3276,3736,4774,4875,6427,12237,7307,10438
Total,SOUTH EAST ASIA,139975,149291,168926,209110,241408,281726,303475,332925,360191,439043
China,EAST ASIA,18657,23207,33837,52279,63791,88833,118127,127032,123673,143445
Hong Kong,EAST ASIA,918,581,1070,1965,1908,1466,914,519,1396,1507
Japan,EAST ASIA,80634,59709,77996,96851,103082,119292,145538,145352,124756,168019
Korea,EAST ASIA,29685,31552,36982,49314,53585,71920,85292,79824,70489,95612
Others,EAST ASIA,570,375,621,1218,1201,1474,2166,2503,2483,3364
Total,EAST ASIA,130464,115424,150506,201627,223567,282985,352037,355230,322797,411947
Australia,AUSTRALASIA,52691,50743,58730,81608,96258,109867,135925,146209,149074,169647
New Zealand,AUSTRALASIA,11700,10811,13283,16762,20463,23493,27498,29261,30876,37024
Fiji,AUSTRALASIA,1422,1499,1519,2003,2326,2412,2635,2129,2031,2508
Others,AUSTRALASIA,291,208,317,571,731,1664,1005,709,470,1096
Total,AUSTRALASIA,66104,63261,73849,100944,119778,137436,167063,178308,182451,210275
STATELESS, STATELESS,9393,13487,15516,1434,13490,647,26237,1025,624,670
Others, Others,33319,9366,10232,13692,21818,25320,32676,34540,15588,12087
